,Fallacy Name,Precision,Recall,F1,Number of Positive Labels for this Class in Test Set
0,fallacy of relevance,0.22448979591836735,0.4583333333333333,0.3013698630136986,24
1,fallacy of credibility,0.39285714285714285,0.6470588235294118,0.4888888888888888,17
2,false causality,0.6,0.6666666666666666,0.631578947368421,18
3,ad populum,0.4,1.0,0.5714285714285715,30
4,false dilemma,0.55,0.9166666666666666,0.6874999999999999,12
5,faulty generalization,0.43333333333333335,0.8524590163934426,0.574585635359116,61
6,intentional,0.18604651162790697,0.5333333333333333,0.27586206896551724,15
7,fallacy of extension,0.43333333333333335,0.6190476190476191,0.5098039215686274,21
8,circular reasoning,0.5,0.5263157894736842,0.5128205128205129,19
9,appeal to emotion,0.34210526315789475,0.5652173913043478,0.4262295081967213,23
10,ad hominem,0.5538461538461539,0.8780487804878049,0.6792452830188679,41
11,fallacy of logic,0.25,0.5,0.3333333333333333,14
12,equivocation,0.0,0.0,0.0,5
